model_code,model,registry_id,implementation_parameter,manuscript_symbol,description,estimate,status,lower_bound,upper_bound
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.18613764643669128,free,2.220446049250313e-16,0.9999999999999998
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,,
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,shared_support,\alpha,Shared pre-experimental context-to-item support,94.45741271972656,free,2.220446049250313e-16,100.0
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,item_support,\delta,Item-specific pre-experimental context-to-item support,22.82504653930664,free,2.220446049250313e-16,100.0
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,learning_rate,\gamma,Feature-to-context learning rate,0.34881967306137085,free,2.220446049250313e-16,0.9999999999999998
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,primacy_scale,\phi_s,Primacy scale,3.9430058002471924,free,2.220446049250313e-16,100.0
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,primacy_decay,\phi_d,Primacy decay,1.2901067733764648,free,2.220446049250313e-16,100.0
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,choice_sensitivity,\tau_c,Recall-choice sensitivity,1.83390474319458,free,2.220446049250313e-16,100.0
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,source_learning_rate,\omega,Source learning relative to temporal learning,3.204422950744629,free,2.220446049250313e-16,10.0
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,5.67374849319458,free,2.220446049250313e-16,10.0
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.15144029259681702,free,0.0,0.21454430108484696
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.0,fixed,,
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,encoding_drift_rate,\beta_{\mathrm{enc}}^{T},Temporal-context drift at study,0.7364020943641663,free,2.220446049250313e-16,0.9999999999999998
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.05900116637349129,free,2.220446049250313e-16,0.9999999999999998
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.9999598264694214,free,2.220446049250313e-16,0.9999999999999998
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.10575360804796219,free,2.220446049250313e-16,0.9999999999999998
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,,
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,shared_support,\alpha,Shared pre-experimental context-to-item support,5.8256402015686035,free,2.220446049250313e-16,100.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,item_support,\delta,Item-specific pre-experimental context-to-item support,58.886653900146484,free,2.220446049250313e-16,100.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,learning_rate,\gamma,Feature-to-context learning rate,0.2871928811073303,free,2.220446049250313e-16,0.9999999999999998
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,primacy_scale,\phi_s,Primacy scale,0.33536165952682495,free,2.220446049250313e-16,100.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,primacy_decay,\phi_d,Primacy decay,76.19095611572266,free,2.220446049250313e-16,100.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,choice_sensitivity,\tau_c,Recall-choice sensitivity,1.9979404211044312,free,2.220446049250313e-16,100.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,source_learning_rate,\omega,Source learning relative to temporal learning,2.6691558361053467,free,2.220446049250313e-16,10.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,1.5774199962615967,free,2.220446049250313e-16,10.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.0,fixed,,
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.115422323346138,free,0.0,0.21454430108484696
